,taxID,genus,epithet,entry_UIDs,count,outgroup
1611265,1611265,Hourangia,cheoi,"['756402482', '756402478', '756402476', '756402474', '756402466']",5,False
1609116,1609116,Boletus,viscidiceps,"['764697895', '764697893', '764697891', '764697889', '764697887', '391886190', '391886188']",7,False
1609115,1609115,Boletus,umbrinipileus,['391886174'],1,False
1609114,1609114,Boletus,tylopilopsis,"['764697885', '764697883']",2,False
1609113,1609113,Boletus,sinoedulis,"['764697881', '764697879', '391886172']",3,False
1609112,1609112,Boletus,subviolaceofuscus,['764697873'],1,False
1609111,1609111,Boletus,monilifer,"['764697871', '764697869', '764697867', '391886176']",4,False
1603062,1603062,Lanmaoa,asiatica,"['1095786055', '756154711', '756154709', '756154707']",4,False
1603061,1603061,Lanmaoa,angustispora,"['756154715', '756154713']",2,False
1603060,1603060,Rugiboletus,extremiorientalis,"['1095786149', '756154701', '756154699']",3,False
1603059,1603059,Rugiboletus,brunneiporus,"['756154697', '756154695', '756154693']",3,False
1603058,1603058,Parvixerocomus,pseudoaokii,"['756154719', '756154717']",2,False
1603057,1603057,Neoboletus,brunneissimus,"['756154705', '756154703', '613813853']",3,False
1581022,1581022,Austroboletus,sp. 8 GB-2014,"['745739960', '745739910']",2,False
1581021,1581021,Austroboletus,sp. 7 GB-2014,"['745739928', '745739926', '745739882', '745739880']",4,False
1581020,1581020,Austroboletus,sp. 6 GB-2014,"['745739940', '745739938', '745739936', '745739924', '745739896', '745739886']",6,False
1581019,1581019,Austroboletus,sp. 5 GB-2014,"['745739962', '745739944', '745739942']",3,False
1581018,1581018,Austroboletus,sp. 4 GB-2014,"['745739920', '745739912', '745739900', '745739898', '745739892']",5,False
1581017,1581017,Austroboletus,sp. 3 GB-2014,"['745739922', '745739918', '745739916', '745739914', '745739894']",5,False
1581016,1581016,Austroboletus,sp. 2 GB-2014,"['745739954', '745739906', '745739902', '745739890']",4,False
1581015,1581015,Austroboletus,sp. 1 GB-2014,"['745739964', '745739908', '745739904', '745739888']",4,False
1581013,1581013,Austroboletus,mutabilis,"['745739952', '745739950', '745739948', '745739934', '745739932', '745739930']",6,False
1545766,1545766,Boletellus,cf. paradoxus BLT-136,['886839021'],1,False
1545765,1545765,Boletellus,aurocontextus,"['886839017', '886839013', '886839009', '886839007', '886839005', '886838999', '886838997', '886838995', '886838993', '886838991', '886838989', '886838987', '886838985', '886838977', '886838973', '886838971', '886838965']",17,False
1545764,1545764,Boletellus,areolatus,"['886839019', '886839011', '886838961', '886838959']",4,False
1522523,1522523,Crocinoboletus,laetissimus,['1095786035'],1,False
1487349,1487349,Xerocomus,punctilifer,"['613814125', '613814123']",2,False
1487348,1487348,Xerocomellus,cisalpinus,"['526840220', '613813919']",2,False
1487347,1487347,Tylopilus,otsuensis,"['1095786027', '613814095']",2,False
1487346,1487346,Tylopilus,microsporus,['613814097'],1,False
1487343,1487343,Mucilopilus,castaneiceps,"['1095786029', '1095786015']",2,False
1487341,1487341,Heimioporus,japonicus,"['1095786043', '613814105']",2,False
1487333,1487333,Boletus,sinensis,['613813855'],1,False
1487332,1487332,Crocinoboletus,rufoaureus,"['613813935', '613813933']",2,False
1487330,1487330,Parvixerocomus,aokii,['613814063'],1,False
1487329,1487329,Heimioporus,sp. HKAS 53451,['613814101'],1,False
1487328,1487328,Heimioporus,aff. japonicus HKAS 52236,['613814103'],1,False
1487323,1487323,Xerocomus,sp. HKAS 76853,['613814139'],1,False
1487322,1487322,Xerocomus,sp. HKAS 76666,['613814131'],1,False
1487321,1487321,Xerocomus,sp. HKAS 76657,['613814127'],1,False
1487318,1487318,Xerocomus,sp. HKAS 74712,['613814083'],1,False
1487316,1487316,Xerocomus,sp. HKAS 53387,['613814137'],1,False
1487314,1487314,Xerocomus,sp. HKAS 52575,['613814135'],1,False
